HMDB_ID;CPD_NAME;KEGG_ID;MOL_WEIGHT;CHEM_FORM
HMDB0086872;CL(i-12:0/i-13:0/i-19:0/18:2(9Z,11Z));;1321.784;C71H134O17P2
HMDB0086873;CL(i-12:0/a-13:0/i-19:0/18:2(9Z,11Z))[rac];;1321.784;C71H134O17P2
HMDB0086874;CL(i-12:0/i-13:0/i-19:0/i-18:0);;1325.816;C71H138O17P2
HMDB0086875;CL(i-12:0/a-13:0/i-19:0/i-18:0)[rac];;1325.816;C71H138O17P2
HMDB0086876;CL(i-12:0/i-13:0/i-19:0/i-19:0);;1339.843;C72H140O17P2
HMDB0086877;CL(i-12:0/a-13:0/i-19:0/i-19:0)[rac];;1339.843;C72H140O17P2
HMDB0086878;CL(i-12:0/i-13:0/i-19:0/i-20:0);;1353.87;C73H142O17P2
HMDB0086879;CL(i-12:0/a-13:0/i-19:0/i-20:0)[rac];;1353.87;C73H142O17P2
HMDB0086880;CL(i-12:0/a-13:0/i-19:0/a-21:0)[rac];;1367.897;C74H144O17P2
HMDB0086881;CL(i-12:0/i-13:0/i-19:0/i-21:0);;1367.897;C74H144O17P2
HMDB0086882;CL(i-12:0/a-13:0/i-19:0/i-21:0)[rac];;1367.897;C74H144O17P2
HMDB0086883;CL(i-12:0/i-13:0/i-19:0/a-21:0)[rac];;1367.897;C74H144O17P2
HMDB0086884;CL(i-12:0/i-13:0/i-19:0/i-22:0);;1381.924;C75H146O17P2
HMDB0086885;CL(i-12:0/a-13:0/i-19:0/i-22:0)[rac];;1381.924;C75H146O17P2
HMDB0086886;CL(i-12:0/i-13:0/i-19:0/i-24:0);;1409.978;C77H150O17P2
HMDB0086887;CL(i-12:0/a-13:0/i-19:0/i-24:0)[rac];;1409.978;C77H150O17P2
HMDB0086888;CL(i-12:0/a-13:0/i-19:0/a-25:0)[rac];;1424.005;C78H152O17P2
HMDB0086889;CL(i-12:0/i-13:0/i-19:0/a-25:0)[rac];;1424.005;C78H152O17P2
HMDB0086890;CL(i-12:0/i-13:0/i-20:0/i-12:0);;1255.681;C66H128O17P2
HMDB0086891;CL(i-12:0/a-13:0/i-20:0/i-12:0)[rac];;1255.681;C66H128O17P2
HMDB0086892;CL(i-12:0/a-13:0/i-20:0/a-13:0)[rac];;1269.708;C67H130O17P2
HMDB0086893;CL(i-12:0/i-13:0/i-20:0/i-13:0);;1269.708;C67H130O17P2
HMDB0086894;CL(i-12:0/a-13:0/i-20:0/i-13:0)[rac];;1269.708;C67H130O17P2
HMDB0086895;CL(i-12:0/i-13:0/i-20:0/a-13:0)[rac];;1269.708;C67H130O17P2
HMDB0086896;CL(i-12:0/i-13:0/i-20:0/i-14:0);;1283.735;C68H132O17P2
HMDB0086897;CL(i-12:0/a-13:0/i-20:0/i-14:0)[rac];;1283.735;C68H132O17P2
HMDB0086898;CL(i-12:0/a-13:0/i-20:0/a-15:0)[rac];;1297.762;C69H134O17P2
HMDB0086899;CL(i-12:0/i-13:0/i-20:0/i-15:0);;1297.762;C69H134O17P2
HMDB0086900;CL(i-12:0/a-13:0/i-20:0/i-15:0)[rac];;1297.762;C69H134O17P2
HMDB0086901;CL(i-12:0/i-13:0/i-20:0/a-15:0)[rac];;1297.762;C69H134O17P2
HMDB0086902;CL(i-12:0/i-13:0/i-20:0/i-16:0);;1311.789;C70H136O17P2
HMDB0086903;CL(i-12:0/a-13:0/i-20:0/i-16:0)[rac];;1311.789;C70H136O17P2
HMDB0086904;CL(i-12:0/a-13:0/i-20:0/a-17:0)[rac];;1325.816;C71H138O17P2
HMDB0086905;CL(i-12:0/i-13:0/i-20:0/i-17:0);;1325.816;C71H138O17P2
HMDB0086906;CL(i-12:0/a-13:0/i-20:0/i-17:0)[rac];;1325.816;C71H138O17P2
HMDB0086907;CL(i-12:0/i-13:0/i-20:0/a-17:0)[rac];;1325.816;C71H138O17P2
HMDB0086908;CL(i-12:0/i-13:0/i-20:0/18:2(9Z,11Z));;1335.811;C72H136O17P2
HMDB0086909;CL(i-12:0/a-13:0/i-20:0/18:2(9Z,11Z))[rac];;1335.811;C72H136O17P2
HMDB0086910;CL(i-12:0/i-13:0/i-20:0/i-18:0);;1339.843;C72H140O17P2
HMDB0086911;CL(i-12:0/a-13:0/i-20:0/i-18:0)[rac];;1339.843;C72H140O17P2
HMDB0086912;CL(i-12:0/i-13:0/i-20:0/i-19:0);;1353.87;C73H142O17P2
HMDB0086913;CL(i-12:0/a-13:0/i-20:0/i-19:0)[rac];;1353.87;C73H142O17P2
HMDB0086914;CL(i-12:0/i-13:0/i-20:0/i-20:0);;1367.897;C74H144O17P2
HMDB0086915;CL(i-12:0/a-13:0/i-20:0/i-20:0)[rac];;1367.897;C74H144O17P2
HMDB0086916;CL(i-12:0/a-13:0/i-20:0/a-21:0)[rac];;1381.924;C75H146O17P2
HMDB0086917;CL(i-12:0/i-13:0/i-20:0/i-21:0);;1381.924;C75H146O17P2
HMDB0086918;CL(i-12:0/a-13:0/i-20:0/i-21:0)[rac];;1381.924;C75H146O17P2
